t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0.610297,31,24,12,-0.785398,-0.739923,-0.00445071,0.00718591
0.610297,31,25,12,-0.785398,-0.64134,-0.00394855,0.0063722
0.610297,31,26,13,-0.589049,-0.542726,-0.0034064,0.00550442
0.610297,31,27,13,-0.589049,-0.444086,-0.00283359,0.00457565
0.610297,31,28,14,-0.392699,-0.345424,-0.00223175,0.00360884
0.610297,31,29,14,-0.392699,-0.246744,-0.0016103,0.00260075
0.610297,31,30,15,-0.19635,-0.148051,-0.000971729,0.00157284
0.610297,31,31,15,-0.19635,-0.0493514,-0.000325483,0.000524289
0.610297,31,32,16,0,0.0493514,0.000325483,-0.000524289
0.610297,31,33,16,0,0.148051,0.000971729,-0.00157284
0.610297,31,34,17,0.19635,0.246744,0.0016103,-0.00260075
0.610297,31,35,17,0.19635,0.345424,0.00223175,-0.00360884
0.610297,31,36,18,0.392699,0.444086,0.00283359,-0.00457565
0.610297,31,37,18,0.392699,0.542726,0.0034064,-0.00550442
0.610297,31,38,19,0.589049,0.64134,0.00394855,-0.0063722
0.610297,31,39,19,0.589049,0.739923,0.00445071,-0.00718591
0.610297,31,40,20,0.785398,0.838471,0.00491244,-0.00792086
0.610297,31,41,20,0.785398,0.936981,0.00532464,-0.0085883
0.610297,31,42,21,0.981748,1.03545,0.00568824,-0.00916206
0.610297,31,43,21,0.981748,1.13387,0.0059946,-0.00965774
0.610297,31,44,22,1.1781,1.23225,0.00624603,-0.0100485
0.610297,31,45,22,1.1781,1.33058,0.00643473,-0.0103536
0.610297,31,46,23,1.37445,1.42886,0.0065642,-0.0105469
0.610297,31,47,23,1.37445,1.52708,0.00662791,-0.0106501
0.610297,31,48,24,1.5708,1.62526,0.0066303,-0.0106393
0.610297,31,49,24,1.5708,1.72338,0.00656648,-0.0105369
0.610297,31,50,25,1.76715,1.82145,0.0064415,-0.0103231
0.610297,31,51,25,1.76715,1.91947,0.00625252,-0.0100196
0.610297,31,52,26,1.9635,2.01745,0.00600483,-0.0096118
0.610297,31,53,26,1.9635,2.11537,0.00569787,-0.00911906
0.610297,31,54,27,2.15984,2.21325,0.00533685,-0.00853349
0.610297,31,55,27,2.15984,2.31109,0.00492366,-0.00787074
0.610297,31,56,28,2.35619,2.4089,0.00446314,-0.00713016
0.610297,31,57,28,2.35619,2.50666,0.00395955,-0.00632303
0.610297,31,58,29,2.55254,2.6044,0.00341725,-0.00545577
0.610297,31,59,29,2.55254,2.70211,0.0028426,-0.00453534
0.610297,31,60,30,2.74889,2.79979,0.00223946,-0.00357429
0.610297,31,61,30,2.74889,2.89746,0.00161586,-0.00257588
0.610297,31,62,31,2.94524,2.99512,0.00097522,-0.0015572
0.610297,31,63,31,2.94524,3.09277,0.000326651,-0.000519056
0.629984,32,0,0,-3.14159,-3.09278,-0.000316432,0.000531215
