t,n,i,position,velocity,E_i
6.53609,83,0,-0.81576,0.866135,0.0744343
6.53609,83,1,0.581448,0.0153773,0.0611103
6.53609,83,2,2.19249,1.54404,-0.145256
6.53609,83,3,1.73154,-0.105499,0.00971147
6.61484,84,0,-0.748033,0.860052,0.0772507
6.61484,84,1,0.582315,0.0110027,0.0555523
6.61484,84,2,2.31492,1.55473,-0.135767
6.61484,84,3,1.72321,-0.105732,0.00296362
6.69358,85,0,-0.680801,0.853752,0.0800073
6.69358,85,1,0.582871,0.00706913,0.0499512
6.69358,85,2,2.43814,1.56467,-0.126172
6.69358,85,3,1.71491,-0.105434,-0.00378652
6.77233,86,0,-0.614083,0.847239,0.0827018
6.77233,86,1,0.583153,0.0035797,0.0443114
6.77233,86,2,2.56207,1.57384,-0.11648
6.77233,86,3,1.70667,-0.104605,-0.0105337
6.85108,87,0,-0.547894,0.840519,0.0853323
6.85108,87,1,0.583196,0.000537087,0.0386373
6.85108,87,2,2.68667,1.58224,-0.106697
6.85108,87,3,1.69854,-0.103244,-0.0172728
6.92983,88,0,-0.482249,0.833598,0.0878966
6.92983,88,1,0.583034,-0.00205634,0.0329332
6.92983,88,2,2.81187,1.58987,-0.0968313
6.92983,88,3,1.69056,-0.101355,-0.0239984
7.00858,89,0,-0.417166,0.826479,0.0903927
7.00858,89,1,0.582703,-0.00419857,0.0272036
7.00858,89,2,2.93761,1.59671,-0.0868908
7.00858,89,3,1.68277,-0.0989365,-0.0307055
7.08732,90,0,-0.352658,0.81917,0.0928188
7.08732,90,1,0.582239,-0.00588794,0.0214529
7.08732,90,2,3.06382,1.60277,-0.0768829
7.08732,90,3,1.67521,-0.0959922,-0.0373887
7.16607,91,0,-0.288761,0.811413,0.0985007
7.16607,91,1,0.581713,-0.00669048,0.0101913
7.16607,91,2,3.19038,1.60705,-0.054367
7.16607,91,3,1.66802,-0.0912791,-0.0598509
7.24482,92,0,-0.225505,0.803264,0.103486
7.24482,92,1,0.581171,-0.0068751,0.00234446
7.24482,92,2,-2.96595,1.61097,-0.0498149
7.24482,92,3,1.6613,-0.085358,-0.0751903
7.32357,93,0,-0.16287,0.795388,0.100014
7.32357,93,1,0.58061,-0.00712472,0.00316982
7.32357,93,2,-2.83882,1.61435,-0.0428746
7.32357,93,3,1.65495,-0.0806375,-0.0599437
7.40232,94,0,-0.100866,0.787375,0.101758
7.40232,94,1,0.580059,-0.00699425,-0.00165681
7.40232,94,2,-2.71147,1.61721,-0.0363867
7.40232,94,3,1.64899,-0.0756202,-0.0637142
7.48106,95,0,-0.0395051,0.779201,0.103794
7.48106,95,1,0.579555,-0.00640839,-0.00743974
7.48106,95,2,-2.58396,1.61927,-0.0261818
7.48106,95,3,1.64347,-0.0700942,-0.0701726
7.55981,96,0,0.0211997,0.770874,0.10575
7.55981,96,1,0.579132,-0.00536758,-0.0132169
7.55981,96,2,-2.45634,1.62053,-0.0159566
7.55981,96,3,1.63843,-0.064064,-0.0765767
7.63856,97,0,0.0812371,0.762398,0.107624
7.63856,97,1,0.578827,-0.00387264,-0.0189838
7.63856,97,2,-2.32869,1.62098,-0.00571894
7.63856,97,3,1.6339,-0.0575341,-0.0829214
7.71731,98,0,0.140596,0.753782,0.109415
7.71731,98,1,0.578675,-0.00192472,-0.024736
7.71731,98,2,-2.20107,1.62062,0.0045231
7.71731,98,3,1.62992,-0.0505096,-0.0892018
7.79606,99,0,0.199266,0.745032,0.111121
7.79606,99,1,0.578713,0.000474655,-0.0304691
7.79606,99,2,-2.07354,1.61946,0.0147616
7.79606,99,3,1.62653,-0.042996,-0.0954131
7.8748,100,0,0.257237,0.73616,0.112663
7.8748,100,1,0.578974,0.0033176,-0.0361017
7.8748,100,2,-1.94617,1.61749,0.0249887
7.8748,100,3,1.62378,-0.0349991,-0.10155
7.95355,101,0,0.314509,0.727284,0.11271
7.95355,101,1,0.579485,0.00649098,-0.0402979
