t,n,i,j_left,x_grid(j_left),position,velocity,E_i
12.3617,111,1,27,2.15984,2.35517,0.0127522,-0.0490234
12.4731,112,0,4,-2.35619,-2.35598,-0.00729261,0.0490741
12.4731,112,1,27,2.15984,2.35598,0.00729261,-0.0490741
12.5844,113,0,4,-2.35619,-2.35619,-0.0018274,0.0490869
12.5844,113,1,27,2.15984,2.35619,0.0018274,-0.0490869
12.6958,114,0,4,-2.35619,-2.35578,0.00363924,0.0490615
12.6958,114,1,27,2.15984,2.35578,-0.00363924,-0.0490615
12.8072,115,0,4,-2.35619,-2.35477,0.00910305,0.0489982
12.8072,115,1,27,2.15984,2.35477,-0.00910305,-0.0489982
12.9185,116,0,4,-2.35619,-2.35315,0.0145598,0.0488968
12.9185,116,1,27,2.15984,2.35315,-0.0145598,-0.0488968
13.0299,117,0,4,-2.35619,-2.35092,0.0200053,0.0487576
13.0299,117,1,27,2.15984,2.35092,-0.0200053,-0.0487576
13.1413,118,0,4,-2.35619,-2.34809,0.0254352,0.0485805
13.1413,118,1,27,2.15984,2.34809,-0.0254352,-0.0485805
13.2526,119,0,4,-2.35619,-2.34465,0.0308455,0.0483658
13.2526,119,1,27,2.15984,2.34465,-0.0308455,-0.0483658
13.364,120,0,4,-2.35619,-2.34061,0.0362318,0.0481137
13.364,120,1,27,2.15984,2.34061,-0.0362318,-0.0481137
13.4754,121,0,4,-2.35619,-2.33598,0.0415901,0.0478242
13.4754,121,1,27,2.15984,2.33598,-0.0415901,-0.0478242
13.5867,122,0,4,-2.35619,-2.33076,0.0469161,0.0474976
13.5867,122,1,27,2.15984,2.33076,-0.0469161,-0.0474976
13.6981,123,0,4,-2.35619,-2.32494,0.0522057,0.0471342
13.6981,123,1,27,2.15984,2.32494,-0.0522057,-0.0471342
13.8095,124,0,4,-2.35619,-2.31855,0.0574549,0.0467343
13.8095,124,1,27,2.15984,2.31855,-0.0574549,-0.0467343
13.9208,125,0,4,-2.35619,-2.31157,0.0626596,0.0462982
13.9208,125,1,27,2.15984,2.31157,-0.0626596,-0.0462982
14.0322,126,0,4,-2.35619,-2.30402,0.0678156,0.0458262
14.0322,126,1,27,2.15984,2.30402,-0.0678156,-0.0458262
14.1436,127,0,4,-2.35619,-2.29589,0.0729191,0.0453186
14.1436,127,1,27,2.15984,2.29589,-0.0729191,-0.0453186
14.2549,128,0,4,-2.35619,-2.28721,0.0779661,0.044776
14.2549,128,1,27,2.15984,2.28721,-0.0779661,-0.044776
14.3663,129,0,4,-2.35619,-2.27797,0.0829527,0.0441986
14.3663,129,1,27,2.15984,2.27797,-0.0829527,-0.0441986
14.4777,130,0,4,-2.35619,-2.26819,0.0878749,0.0435869
14.4777,130,1,27,2.15984,2.26819,-0.0878749,-0.0435869
14.589,131,0,4,-2.35619,-2.25786,0.092729,0.0429415
14.589,131,1,27,2.15984,2.25786,-0.092729,-0.0429415
