t,n,i,position,velocity,E_i
21.3824,192,0,-1.53313,-0.00271164,0.00168311
21.3824,192,1,1.56236,-0.00952523,-0.00407724
21.4937,193,0,-1.53345,-0.00290166,0.00170623
21.4937,193,1,1.56135,-0.00907198,-0.00406987
21.6051,194,0,-1.53379,-0.003094,0.00172708
21.6051,194,1,1.56039,-0.00861964,-0.00406175
21.7165,195,0,-1.53416,-0.00328841,0.00174563
21.7165,195,1,1.55948,-0.00816828,-0.00405285
21.8278,196,0,-1.53455,-0.00348462,0.0017619
21.8278,196,1,1.55862,-0.00771801,-0.00404319
21.9392,197,0,-1.53496,-0.0036824,0.00177588
21.9392,197,1,1.55781,-0.0072689,-0.00403274
22.0506,198,0,-1.53539,-0.00388147,0.00178756
22.0506,198,1,1.55705,-0.00682104,-0.0040215
22.1619,199,0,-1.53585,-0.00408159,0.00179694
22.1619,199,1,1.55634,-0.00637451,-0.00400948
22.2733,200,0,-1.53632,-0.0042825,0.00180404
22.2733,200,1,1.55568,-0.00592942,-0.00399666
22.3847,201,0,-1.53682,-0.00448394,0.00180884
22.3847,201,1,1.55507,-0.00548584,-0.00398305
22.496,202,0,-1.53734,-0.00468567,0.00181135
22.496,202,1,1.55451,-0.00504387,-0.00396863
22.6074,203,0,-1.53789,-0.00488741,0.00181158
22.6074,203,1,1.55399,-0.00460359,-0.00395342
22.7188,204,0,-1.53845,-0.00508894,0.00180952
22.7188,204,1,1.55353,-0.00416509,-0.00393742
22.8301,205,0,-1.53904,-0.00528997,0.0018052
22.8301,205,1,1.55311,-0.00372847,-0.00392061
22.9415,206,0,-1.53966,-0.00549028,0.00179862
22.9415,206,1,1.55275,-0.0032938,-0.00390301
23.0529,207,0,-1.54029,-0.0056896,0.00178978
23.0529,207,1,1.55243,-0.00286119,-0.00388462
23.1642,208,0,-1.54094,-0.00588769,0.0017787
23.1642,208,1,1.55216,-0.00243071,-0.00386544
23.2756,209,0,-1.54162,-0.00608429,0.00176539
23.2756,209,1,1.55193,-0.00200245,-0.00384548
23.387,210,0,-1.54232,-0.00627917,0.00174986
23.387,210,1,1.55176,-0.0015765,-0.00382474
23.4983,211,0,-1.54304,-0.00647207,0.00173213
23.4983,211,1,1.55163,-0.00115295,-0.00380323
23.6097,212,0,-1.54378,-0.00666275,0.00171221
23.6097,212,1,1.55155,-0.000731874,-0.00378096
23.7211,213,0,-1.54455,-0.00685098,0.00169012
